query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
tattoos;62;0.0;0;0.0;0.0;0.0;1985;0;0.0;0.1542;402;134
tattoo removal;1797;0.01;43;2836.013406754;2.183228181;0.13057152;21720;38;2598.943305016;0.4179;4300;1299
tattoo rem;26;0.0;0;0.0;0.0;0.0;360;0;0.0;0.2955;88;82
tattoo re;51;0.0;0;0.0;0.0;0.0;640;0;0.0;0.2787;183;170
tattoo;787;0.004;14;855.001699448;0.558095104;0.051185447;16704;15;926.392499924;0.2372;3318;1532
tatto removal;48;0.008;1;23.61000061;0.562142872;0.032166213;734;1;23.61000061;0.3934;122;42
tatto;65;0.003;1;-9.604000092;-0.054568182;-0.007226486;1329;1;-9.604000092;0.2218;293;176
tatt;92;0.002;1;104.172096252;0.294271458;0.08394206;1241;1;104.172096252;0.217;424;354
tatoo removal;144;0.008;2;35.019299507;0.315489185;0.022234476;1575;2;35.019299507;0.5496;262;111
tatoo;58;0.0;0;0.0;0.0;0.0;1375;0;0.0;0.2014;288;142
tat;50;0.0;0;0.0;0.0;0.0;743;0;0.0;0.1736;288;254
tastings;22;0.0;0;0.0;0.0;0.0;705;0;0.0;0.2018;109;20
tasting;150;0.003;2;28.824298859;0.18839411;0.008907385;3236;5;68.646799088;0.2475;606;153
tarpon springs;16;0.0;0;0.0;0.0;0.0;526;0;0.0;0.1778;90;35
tarot;116;0.025;8;78.156600833;0.737326423;0.041243589;1895;7;66.302301288;0.3569;325;106
target;21;0.0;0;0.0;0.0;0.0;2464;0;0.0;0.0365;576;291
tar;5;0.0;0;0.0;0.0;0.0;420;0;0.0;0.0365;137;124
tanning salons;13;0.0;0;0.0;0.0;0.0;440;0;0.0;0.1548;84;25
tanning salon;51;0.0;0;0.0;0.0;0.0;1602;0;0.0;0.1809;282;100
tanning lotion;48;0.022;2;11.518599987;0.397193103;0.023269899;495;2;11.518599987;0.5333;90;29
tanning beds;17;0.0;0;0.0;0.0;0.0;703;0;0.0;0.1371;124;40
tanning bed;153;0.008;7;115.119601846;0.414099287;0.024735626;4654;6;36.75690043;0.1804;848;278
tanning;1833;0.012;94;983.093303204;0.426875077;0.023308201;42178;80;813.507702351;0.2382;7695;2303
tannin;21;0.0;0;0.0;0.0;0.0;360;0;0.0;0.1429;147;131
tann;67;0.013;4;111.534399033;0.468631929;0.105022975;1062;3;80.560098648;0.2226;301;238
tank tops for women;8;0.0;0;0.0;0.0;0.0;1102;0;0.0;0.0777;103;2
tank;7;0.0;0;0.0;0.0;0.0;429;0;0.0;0.0614;114;61
tango class;4;0.0;0;0.0;0.0;0.0;637;0;0.0;0.0253;158;6
tan republic;46;0.021;4;74.92719841;1.152726129;0.068551874;1093;4;74.92719841;0.2371;194;65
tan;742;0.014;38;494.293898821;0.446920343;0.033572906;14723;38;494.958799362;0.273;2718;1106
tampa zoo;89;0.007;2;47.723701477;0.381789612;0.031689045;1506;2;47.723701477;0.3069;290;125
tampa hotels;9;0.0;0;0.0;0.0;0.0;557;0;0.0;0.1525;59;10
tampa florida;15;0.0;0;0.0;0.0;0.0;853;0;0.0;0.1136;132;26
tampa fl;8;0.0;0;0.0;0.0;0.0;449;0;0.0;0.0976;82;32
tampa bay downs;86;0.079;15;186.50899601;1.883929253;0.201631347;925;15;177.410996437;0.455;189;99
tampa bay;23;0.018;2;27.293998718;0.379083316;0.055588592;491;3;35.027298927;0.2035;113;72
tampa aquarium;27;0.0;0;0.0;0.0;0.0;1125;0;0.0;0.1337;202;72
tampa;225;0.004;7;174.488700867;0.294744427;0.014095541;12379;9;201.784901619;0.1155;1948;592
tamp;11;0.014;2;27.293998718;0.213234365;0.058823273;464;2;27.293998718;0.078;141;128
talisman academy llc;2;0.0;0;0.0;0.0;0.0;910;0;0.0;0.0235;85;1
take out;5;0.0;0;0.0;0.0;0.0;429;0;0.0;0.0694;72;23
take 5 oil change;48;0.011;3;57.190199852;0.476584999;0.039144558;1461;3;57.190199852;0.1811;265;120
take 5 oil;21;0.005;1;8.40019989;0.075001785;0.007872727;1067;1;8.40019989;0.0981;214;112
take 5;56;0.002;2;35.45430088;0.05958706;0.007812759;4538;2;35.45430088;0.0524;1069;595
take;6;0.0;0;0.0;0.0;0.0;1173;0;0.0;0.0133;450;404
tailor your personalized 75-minute massage for ultimate relaxation at foot smile spa (up to 45% off);3;0.0;0;0.0;0.0;0.0;531;0;0.0;0.0612;49;1
tai chi;12;0.0;0;0.0;0.0;0.0;375;0;0.0;0.15;80;35
tahoe;85;0.0;0;0.0;0.0;0.0;1358;0;0.0;0.3542;240;74
taekwondo;53;0.0;0;0.0;0.0;0.0;492;0;0.0;0.5354;99;43
tactical;15;0.0;0;0.0;0.0;0.0;552;0;0.0;0.2174;69;30
tacos and tequila;8;0.0;0;0.0;0.0;0.0;388;0;0.0;0.092;87;38
tacos;46;0.008;2;13.33589983;0.130744116;0.011378754;1172;2;13.33589983;0.1811;254;102
tacori rings;1;0.0;0;0.0;0.0;0.0;558;0;0.0;0.0357;28;1
tacoma;21;0.0;0;0.0;0.0;0.0;1030;0;0.0;0.1628;129;49
taco bell;5;0.0;0;0.0;0.0;0.0;950;0;0.0;0.0251;199;105
taco;47;0.011;3;22.38310051;0.135655155;0.021056539;1063;2;17.732700348;0.178;264;165
tablets;20;0.0;0;0.0;0.0;0.0;1203;0;0.0;0.101;198;31
tablet;106;0.002;1;4.399199963;0.031648921;0.001032191;4262;1;4.399199963;0.1712;619;139
tables;3;0.0;0;0.0;0.0;0.0;586;0;0.0;0.037;81;12
table;9;0.0;0;0.0;0.0;0.0;1000;0;0.0;0.0672;134;77
ta;37;0.002;3;34.639200211;0.020174258;0.008308755;4169;3;34.639200211;0.0195;1897;1717
t shirts;8;0.023;2;16.555900097;0.973876476;0.02016553;821;2;16.555900097;0.092;87;17
t;70;0.0;0;0.0;0.0;0.0;22960;1;4.019999981;0.0072;9722;8618
syracuse;7;0.0;0;0.0;0.0;0.0;470;0;0.0;0.1148;61;27
synthetic oil change;954;0.037;74;1047.508598566;1.754620768;0.103020122;10168;72;1020.224698305;0.4816;1981;597
synthetic oil;249;0.026;15;212.604402065;0.944908454;0.091996712;2311;15;263.268101692;0.4376;569;225
synthetic;109;0.037;13;210.365899086;0.87652458;0.166297153;1265;12;222.477098465;0.3097;352;240
syn;30;0.016;3;47.035099983;0.28679939;0.078785762;597;3;47.035099983;0.1571;191;164
sympathy flowers;36;0.01;2;13.751499653;0.269637248;0.010103967;1361;2;13.751499653;0.1756;205;51
syctron;1;0.0;0;0.0;0.0;0.0;362;0;0.0;0.0139;72;33
sybaris;17;0.0;0;0.0;0.0;0.0;2146;0;0.0;0.0362;469;230
sy;20;0.002;1;10.80300045;0.0244966;0.00895029;1207;1;10.80300045;0.0403;496;441
switch games;19;0.016;2;5.757599831;0.261709083;0.005929557;971;2;5.757599831;0.152;125;22
switch;38;0.008;2;5.877600193;0.069148238;0.002989624;1966;2;5.877600193;0.152;250;85
swimming with dolphins;3;0.013;1;82.170600891;5.478040059;0.223289676;368;1;82.170600891;0.04;75;15
swimming lessons;30;0.0;0;0.0;0.0;0.0;1345;0;0.0;0.1456;206;66
swimming lesson;8;0.0;0;0.0;0.0;0.0;510;0;0.0;0.1026;78;30
swimming class;13;0.0;0;0.0;0.0;0.0;591;0;0.0;0.1477;88;26
swimming;48;0.0;0;0.0;0.0;0.0;3898;0;0.0;0.0653;735;285
swim with dolphins;48;0.0;0;0.0;0.0;0.0;848;0;0.0;0.3137;153;47
swim lessons;41;0.0;0;0.0;0.0;0.0;1773;0;0.0;0.1246;329;109
swim lesson;10;0.0;0;0.0;0.0;0.0;402;0;0.0;0.1282;78;36
swim classes;18;0.0;0;0.0;0.0;0.0;516;0;0.0;0.3333;54;24
swim class;15;0.0;0;0.0;0.0;0.0;400;0;0.0;0.25;60;26
swim bag;6;0.0;0;0.0;0.0;0.0;382;0;0.0;0.3;20;3
swim;99;0.003;2;57.000501633;0.159665271;0.016924139;3368;2;57.000501633;0.1373;721;357
swi;10;0.0;0;0.0;0.0;0.0;523;0;0.0;0.0388;258;235
sweets;28;0.007;1;7.580900192;0.148645102;0.007783265;974;1;7.580900192;0.2074;135;51
sweet wine;27;0.0;0;0.0;0.0;0.0;741;0;0.0;0.1467;184;10
sweet frog;4;0.0;0;0.0;0.0;0.0;390;0;0.0;0.0526;76;28
sweet 16 birthday;11;0.0;0;0.0;0.0;0.0;635;0;0.0;0.1897;58;3
sweet;70;0.028;7;35.279099166;0.16799571;0.039908483;884;11;59.091499269;0.2811;249;210
sweedish massage;35;0.012;1;43.65530014;2.078823816;0.085431116;511;1;43.65530014;0.4118;85;21
swedish massage;347;0.009;9;141.852901459;0.583756796;0.026181783;5418;7;74.849201202;0.3552;977;243
swedish;66;0.009;2;39.004999161;0.348258921;0.035718864;1092;2;39.004999161;0.287;230;112
sweatshirt;14;0.0;0;0.0;0.0;0.0;411;0;0.0;0.2222;63;12
sweats;9;0.0;0;0.0;0.0;0.0;584;0;0.0;0.1098;82;20
sweatpants;60;0.042;5;29.755900383;0.762971805;0.035850482;830;5;29.755900383;0.5085;118;39
sweater;12;0.0;0;0.0;0.0;0.0;559;0;0.0;0.1364;88;28
sweat pants;47;0.032;3;12.538199902;0.501527996;0.01931926;649;3;12.538199902;0.4947;95;25
sweat;7;0.0;0;0.0;0.0;0.0;609;0;0.0;0.0363;193;148
swe;5;0.0;0;0.0;0.0;0.0;392;0;0.0;0.0323;155;138
swavorski;8;0.0;0;0.0;0.0;0.0;365;0;0.0;0.2105;38;5
swarovski necklace;4;0.0;0;0.0;0.0;0.0;1058;0;0.0;0.0374;107;3
swarovski earrings;9;0.0;0;0.0;0.0;0.0;580;0;0.0;0.1429;63;3
swarovski crystal jewelry;3;0.0;0;0.0;0.0;0.0;697;0;0.0;0.0159;189;1
swarovski;63;0.0;0;0.0;0.0;0.0;4245;0;0.0;0.1121;562;55
swar;19;0.064;5;14.393300056;0.411237144;0.030820771;467;5;14.393300056;0.2436;78;35
swan;104;0.138;25;90.971699476;0.694440454;0.148646568;612;26;93.526299477;0.5746;181;131
swamp tours;56;0.007;1;17.746099472;0.443652487;0.024477379;725;0;0.0;0.4118;136;40
swamp tour;250;0.021;13;280.658399582;1.410343716;0.082790088;3390;11;268.445199966;0.3994;626;199
swamp;196;0.025;10;153.414400101;0.816034043;0.088576443;1732;12;177.459599495;0.4975;394;188
sw;2;0.0;0;0.0;0.0;0.0;2357;0;0.0;0.0027;743;647
sushi making class;54;0.0;0;0.0;0.0;0.0;825;0;0.0;0.3214;168;61
sushi making;95;0.005;1;30.52519989;0.28264074;0.028635272;1066;1;30.52519989;0.4358;218;108
sushi class;110;0.008;2;4.555800438;0.048465962;0.002840275;1604;2;4.555800438;0.4104;268;94
sushi;950;0.018;65;547.940904677;0.330084882;0.035987187;15226;64;542.053902209;0.2681;3543;1660
sus;16;0.012;3;32.789600372;0.14256348;0.055764626;588;3;32.789600372;0.0635;252;230
survival;24;0.0;0;0.0;0.0;0.0;547;0;0.0;0.25;96;30
surgical facelift;2;0.0;0;0.0;0.0;0.0;408;0;0.0;0.0392;51;2
surgery;93;0.0;0;0.0;0.0;0.0;1912;0;0.0;0.3796;245;56
surge;25;0.016;5;65.486000538;0.382959067;0.057343258;1142;6;68.808800459;0.082;305;171
surfing;100;0.009;3;80.854001999;0.777442327;0.046574886;1736;3;99.445603371;0.304;329;104
surf lessons;28;0.009;1;19.934999466;0.524605249;0.025043969;796;1;19.934999466;0.2569;109;38
surf lesson;31;0.0;0;0.0;0.0;0.0;545;0;0.0;0.378;82;27
surf;182;0.012;7;336.770001411;1.626908219;0.115688767;2911;7;305.613600731;0.3049;597;207
sur la table;5;0.011;1;22.686700821;0.482695762;0.057874237;392;1;22.686700821;0.0538;93;47
sur;7;0.0;0;0.0;0.0;0.0;460;0;0.0;0.0412;170;160
suppliments;1;0.009;1;1.998999953;0.999499977;0.004828502;414;1;1.998999953;0.0093;107;2
supplements;10;0.0;0;0.0;0.0;0.0;677;0;0.0;0.1613;62;18
supplement;1;0.0;0;0.0;0.0;0.0;628;0;0.0;0.0169;59;9
supercharged;6;0.0;0;0.0;0.0;0.0;539;2;30.74530077;0.0536;112;69
superbowl;14;0.0;0;0.0;0.0;0.0;543;0;0.0;0.0619;226;146
superblue miami;36;0.0;0;0.0;0.0;0.0;1311;0;0.0;0.2236;161;82
super bowl;32;0.0;0;0.0;0.0;0.0;1852;0;0.0;0.0917;349;153
super blue;1;0.0;0;0.0;0.0;0.0;461;0;0.0;0.0102;98;53
super 8;16;0.014;1;8.460000038;0.248823531;0.021417722;395;1;8.460000038;0.2162;74;34
super;23;0.004;3;30.580499649;0.050967499;0.014610846;2093;2;17.82159996;0.0328;702;600
sup;3;0.0;0;0.0;0.0;0.0;838;0;0.0;0.0085;352;309
sunshine spa;47;0.031;3;113.802999496;2.918025628;0.233681724;487;3;113.802999496;0.4845;97;39
sunshine;71;0.034;5;113.181699753;1.257574442;0.202110178;560;5;113.181699753;0.483;147;90
sunset tour;19;0.0;0;0.0;0.0;0.0;431;1;17.973899841;0.2021;94;20
sunset sail;55;0.012;1;13.56799984;0.437677414;0.032151658;422;2;48.450598717;0.6627;83;31
sunset rooftop;54;0.031;2;36.09679985;1.031337139;0.087613592;412;2;36.09679985;0.8308;65;35
sunset dinner cruise;22;0.0;0;0.0;0.0;0.0;562;0;0.0;0.2366;93;19
sunset cruise;405;0.006;7;134.449198484;0.411159628;0.020181507;6662;7;134.449198484;0.3479;1164;327
sunset boat;29;0.025;2;51.244698524;1.897951797;0.127158061;403;2;51.244698524;0.3625;80;27
sunset;369;0.01;11;244.98779583;0.483210643;0.048812073;5019;11;202.231398582;0.3452;1069;507
suns;7;0.0;0;0.0;0.0;0.0;408;0;0.0;0.053;132;109
sunglasses for men;2;0.0;0;0.0;0.0;0.0;521;0;0.0;0.0308;65;5
sunglasses;411;0.007;10;74.616101265;0.31483587;0.005891055;12666;10;74.616101265;0.28;1468;237
sunglass;9;0.0;0;0.0;0.0;0.0;490;0;0.0;0.1233;73;46
sungl;12;0.0;0;0.0;0.0;0.0;405;0;0.0;0.1967;61;43
sunflowers;2;0.0;0;0.0;0.0;0.0;392;0;0.0;0.0294;68;28
sun tan city;8;0.007;1;7.370399952;0.193957893;0.012366443;596;1;7.370399952;0.0563;142;38
sun glasses;7;0.0;0;0.0;0.0;0.0;1664;0;0.0;0.0443;158;36
sun;8;0.002;1;7.370399952;0.012534694;0.004461501;1652;1;7.370399952;0.0119;672;588
summit one;52;0.024;3;81.315698624;1.11391368;0.1708313;476;2;64.643798828;0.4228;123;73
summit;346;0.026;17;573.678393364;1.294985087;0.278619909;2059;23;773.740990639;0.5381;643;443
summer camp;13;0.0;0;0.0;0.0;0.0;623;0;0.0;0.1354;96;33
summ;90;0.054;9;327.349101067;2.21181825;0.750800691;436;9;327.349101067;0.5422;166;148
suits;81;0.019;5;56.442298889;0.973143084;0.032033087;1762;5;56.442298889;0.3011;269;58
suites;91;0.003;1;10.354499817;0.141842463;0.006852746;1511;1;10.354499817;0.3138;290;73
suite;73;0.004;1;29.304800034;0.348866667;0.021359184;1372;0;0.0;0.3244;225;84
suitcases;15;0.0;0;0.0;0.0;0.0;472;0;0.0;0.1765;85;20
suitcase;69;0.0;0;0.0;0.0;0.0;1511;0;0.0;0.335;206;65
suit;116;0.005;2;25.59679985;0.17295135;0.010185754;2513;2;25.59679985;0.2886;402;148
sugaring;524;0.021;28;361.018198013;0.829926892;0.050704803;7120;27;353.500397682;0.3943;1329;435
sugar waxing near me;12;0.0;0;0.0;0.0;0.0;519;0;0.0;0.1034;116;30
sugar waxing;103;0.014;3;37.831800461;0.540454292;0.024662191;1534;3;37.831800461;0.4619;223;70
sugar wax;434;0.027;24;292.061799288;1.032020492;0.057696918;5062;22;281.056599617;0.491;884;283
sugar factory;30;0.0;0;0.0;0.0;0.0;4646;0;0.0;0.0396;758;273
sugar;236;0.019;17;224.567799568;0.422119924;0.059252718;3790;16;226.017500401;0.2568;919;532
subway;17;0.0;0;0.0;0.0;0.0;711;0;0.0;0.0401;424;307
subscriptions;13;0.015;1;10.745900154;0.826607704;0.01663452;646;0;0.0;0.1912;68;13
subscription box;10;0.0;0;0.0;0.0;0.0;538;0;0.0;0.1111;90;14
subscription;47;0.0;0;0.0;0.0;0.0;2178;0;0.0;0.1424;330;49
subs;5;0.0;0;0.0;0.0;0.0;475;0;0.0;0.0543;92;59
sublima ring;2;0.0;0;0.0;0.0;0.0;656;0;0.0;0.0339;59;1
sub;9;0.0;0;0.0;0.0;0.0;483;0;0.0;0.0317;284;250
suana;54;0.005;1;6.720699787;0.097401446;0.005685871;1182;1;6.720699787;0.2411;224;69
su;22;0.001;2;17.830300093;0.012645603;0.00474968;3754;3;24.08430028;0.0137;1604;1410
styx;143;0.055;15;197.889200211;1.137294254;0.335974873;589;17;217.942399979;0.52;275;174
style;11;0.0;0;0.0;0.0;0.0;386;0;0.0;0.1209;91;39
stuff to do;39;0.008;2;17.350400448;0.510305896;0.008897641;1950;1;3.6802001;0.1477;264;34
studs;14;0.013;1;2.880000114;0.360000014;0.004235294;680;1;2.880000114;0.1795;78;8
studio movie grill;49;0.008;2;14.147599697;0.162616088;0.009028462;1567;2;14.147599697;0.1922;255;87
studio;36;0.0;0;0.0;0.0;0.0;1270;0;0.0;0.1132;318;220
stud earrings;44;0.003;1;2.161499977;0.120083332;0.001295863;1668;1;2.161499977;0.1507;292;18
stroller;12;0.0;0;0.0;0.0;0.0;428;0;0.0;0.1935;62;26
stroker;56;0.0;0;0.0;0.0;0.0;1058;0;0.0;0.3613;155;41
strip club;18;0.0;0;0.0;0.0;0.0;482;0;0.0;0.1765;102;39
strip;30;0.0;0;0.0;0.0;0.0;1494;0;0.0;0.1261;238;104
stretching;101;0.009;3;37.529800653;0.282178952;0.016628179;2257;1;8.712200165;0.2869;352;133
stretch zone;16;0.0;0;0.0;0.0;0.0;1394;0;0.0;0.0643;249;77
stretch therapy;20;0.0;0;0.0;0.0;0.0;558;0;0.0;0.2381;84;19
stretch massage;8;0.0;0;0.0;0.0;0.0;359;0;0.0;0.1739;46;8
stretch marks;42;0.0;0;0.0;0.0;0.0;706;0;0.0;0.3281;128;48
stretch mark removal;45;0.0;0;0.0;0.0;0.0;452;0;0.0;0.5422;83;29
stretch mark;70;0.0;0;0.0;0.0;0.0;935;0;0.0;0.4828;145;65
stretch lab;59;0.002;1;8.967000008;0.04229717;0.002433379;3685;1;8.967000008;0.1031;572;212
stretch;358;0.008;13;200.660698414;0.27525473;0.021162276;9482;12;189.292698383;0.2151;1664;729
stress;24;0.014;1;23.98500061;0.827068987;0.051915586;462;1;23.98500061;0.338;71;29
streaming;5;0.0;0;0.0;0.0;0.0;668;0;0.0;0.041;122;56
stre;35;0.0;0;0.0;0.0;0.0;690;0;0.0;0.1203;291;244
strawberry festival;2;0.0;0;0.0;0.0;0.0;374;0;0.0;0.0278;72;27
strawberry;56;0.004;1;10.556699753;0.088711763;0.008688642;1215;1;10.556699753;0.2435;230;119
strawberries;117;0.009;4;-2.317699909;-0.014576729;-0.000998148;2322;4;7.08589983;0.2653;441;159
straw;2;0.0;0;0.0;0.0;0.0;532;0;0.0;0.0113;177;159
strat;185;0.026;8;117.383999348;0.575411762;0.102698162;1143;6;86.29599905;0.6006;308;204
stra;30;0.009;2;36.983999252;0.184919996;0.057339534;645;2;36.983999252;0.1345;223;200
str;16;0.002;1;8.415699959;0.016566339;0.005670957;1484;1;8.415699959;0.0293;546;508
storage units;10;0.0;0;0.0;0.0;0.0;1147;0;0.0;0.0571;175;65
storage unit;13;0.0;0;0.0;0.0;0.0;1959;0;0.0;0.0396;328;118
storage fabric cubes for shelves;0;0.0;0;0.0;0.0;0.0;472;0;0.0;0.0;40;1
storage cubes;2;0.0;0;0.0;0.0;0.0;384;0;0.0;0.0588;34;1
storage;133;0.001;2;8.287099838;0.019591253;0.000798603;10377;2;8.287099838;0.0899;1480;423
stone mountain park;16;0.025;2;12.529999733;0.481923067;0.025519348;491;0;0.0;0.2025;79;26
stone mountain;81;0.014;4;28.624099255;0.23083951;0.021570534;1327;4;28.624099255;0.2832;286;124
stone;104;0.072;21;214.3939991;0.916213671;0.259243046;827;23;192.833999634;0.3586;290;234
stomach tightening;30;0.0;0;0.0;0.0;0.0;807;0;0.0;0.2055;146;15
stomach;61;0.0;0;0.0;0.0;0.0;717;0;0.0;0.391;156;97
stock;14;0.01;1;3.50999999;0.050142857;0.009696133;362;1;3.50999999;0.1386;101;70
sto;6;0.0;0;0.0;0.0;0.0;605;1;29.487400055;0.0226;266;233
sterling silver small hoop earings;3;0.0;0;0.0;0.0;0.0;456;0;0.0;0.0698;43;1
sterling silver rings;41;0.0;0;0.0;0.0;0.0;1249;0;0.0;0.2645;155;18
sterling silver ring;29;0.008;1;2.639600039;0.138926318;0.003242752;814;1;2.639600039;0.2283;127;19
sterling silver jewelry;25;0.015;2;6.717000008;0.671700001;0.003771477;1781;2;6.717000008;0.1852;135;10
sterling silver earrings;31;0.054;5;21.836400509;1.364775032;0.027227432;802;5;21.836400509;0.3333;93;16
sterling silver bracelet;15;0.018;1;6.958099842;0.579841654;0.01298153;536;1;6.958099842;0.2679;56;12
sterling silver;134;0.008;4;17.755500317;0.147962503;0.0041817;4246;4;17.755500317;0.2552;525;120
sterling;22;0.035;6;18.467999935;0.186545454;0.0243;760;6;18.467999935;0.1287;171;99
stem cells;17;0.0;0;0.0;0.0;0.0;509;0;0.0;0.2152;79;15
stem cell;21;0.0;0;0.0;0.0;0.0;1108;0;0.0;0.116;181;63
steamer;14;0.0;0;0.0;0.0;0.0;425;0;0.0;0.2745;51;28
steamboat;34;0.008;1;68.078201294;1.237785478;0.131679306;517;1;68.078201294;0.2615;130;55
steam sauna;27;0.0;0;0.0;0.0;0.0;516;0;0.0;0.4426;61;17
steam room;74;0.0;0;0.0;0.0;0.0;1525;0;0.0;0.2868;258;95
steam cleaning;43;0.0;0;0.0;0.0;0.0;741;0;0.0;0.3839;112;38
steam cleaner;6;0.0;0;0.0;0.0;0.0;679;0;0.0;0.0556;108;22
steam clean;25;0.015;1;14.60890007;0.486963336;0.030626625;477;1;14.60890007;0.3623;69;30
steam;47;0.0;0;0.0;0.0;0.0;1656;0;0.0;0.1214;387;240
steakhouse;244;0.004;5;60.499401093;0.10765018;0.013483263;4487;5;60.499401093;0.1821;1340;562
steak restaurants;8;0.0;0;0.0;0.0;0.0;380;0;0.0;0.1404;57;12
steak restaurant;16;0.0;0;0.0;0.0;0.0;614;0;0.0;0.1379;116;28
steak house;55;0.002;1;31.614900589;0.155738427;0.010573545;2990;1;31.614900589;0.1036;531;203
steak dinner;33;0.016;2;7.016100168;0.194891671;0.009430242;744;1;2.096699953;0.2661;124;36
steak;400;0.003;7;72.189900398;0.059759851;0.006537756;11042;8;91.593300819;0.1649;2426;1208
stea;13;0.0;0;0.0;0.0;0.0;724;0;0.0;0.0463;281;262
ste;5;0.0;0;0.0;0.0;0.0;1002;0;0.0;0.0124;404;358
stays;130;0.0;0;0.0;0.0;0.0;2453;0;0.0;0.2915;446;98
stay;159;0.002;1;75.777000427;0.335296462;0.023904417;3170;1;75.777000427;0.2704;588;226
statue of liberty party boat tour;9;0.0;0;0.0;0.0;0.0;518;0;0.0;0.1667;54;1
statue of liberty;255;0.022;14;200.441800117;0.963662501;0.051277002;3909;16;245.470398903;0.3911;652;208
statue;120;0.016;5;53.531099319;0.287801609;0.04387795;1220;5;57.27229929;0.3883;309;186
staten island;50;0.0;0;0.0;0.0;0.0;2232;0;0.0;0.1567;319;58
state inspection;223;0.043;30;198.363799095;0.760014556;0.045538062;4356;29;193.078799248;0.3213;694;261
state fair;6;0.0;0;0.0;0.0;0.0;1017;0;0.0;0.0259;232;128
state;37;0.014;4;15.946099758;0.070247135;0.020602196;774;4;15.946099758;0.1317;281;227
stat;29;0.0;0;0.0;0.0;0.0;482;1;-10.583999634;0.1779;163;141
stars and strikes;86;0.067;13;41.101599693;0.428141663;0.049400961;832;16;52.862799525;0.441;195;96
stars;63;0.031;6;43.917799711;0.30711748;0.060492837;726;9;49.477799654;0.3264;193;143
starbucks gift card;1;0.0;0;0.0;0.0;0.0;368;0;0.0;0.0233;43;15
starbucks;99;0.0;0;0.0;0.0;0.0;6577;0;0.0;0.0337;2936;1715
starbuck;3;0.0;0;0.0;0.0;0.0;386;0;0.0;0.0178;169;142
star wars;15;0.0;0;0.0;0.0;0.0;609;0;0.0;0.1852;81;27
star smog check;29;0.009;1;6.728000164;0.258769237;0.011907965;565;1;6.728000164;0.2661;109;26
star smog;55;0.026;5;64.93790102;1.10064239;0.068644716;946;4;55.681101322;0.2821;195;59
star;84;0.003;4;16.270800054;0.013966352;0.003436283;4735;6;27.06979984;0.0588;1429;1165
staples;4;0.0;0;0.0;0.0;0.0;1267;0;0.0;0.0125;319;154
stanley steemer;1;0.0;0;0.0;0.0;0.0;625;0;0.0;0.009;111;49
stanley steamer;7;0.0;0;0.0;0.0;0.0;1007;0;0.0;0.0395;177;76
stanley cup;11;0.0;0;0.0;0.0;0.0;517;0;0.0;0.1642;67;31
stanley;17;0.021;4;9.008400083;0.087460195;0.009071903;993;4;9.008400083;0.0904;188;103
stan;2;0.0;0;0.0;0.0;0.0;374;1;43.737598419;0.016;125;113
stamps;80;0.0;0;0.0;0.0;0.0;1276;0;0.0;0.3524;227;82
stamp;55;0.018;2;8.460099936;0.151073213;0.01171759;722;2;8.460099936;0.4825;114;56
stamford;10;0.009;1;9.538700104;0.561100006;0.019748861;483;1;9.538700104;0.0926;108;17
stainless steel rings;25;0.0;0;0.0;0.0;0.0;414;0;0.0;0.5;50;4
stainless steel ring;15;0.0;0;0.0;0.0;0.0;498;0;0.0;0.2727;55;4
stainless steel;6;0.0;0;0.0;0.0;0.0;499;0;0.0;0.0612;98;36
stained glass class;30;0.0;0;0.0;0.0;0.0;1259;0;0.0;0.1316;228;59
stained glass;82;0.005;3;113.238897324;0.586730038;0.039538721;2864;3;113.238897324;0.1404;584;193
staind;22;0.044;4;48.75;1.392857143;0.126623377;385;4;56.25;0.2444;90;35
sta;3;0.0;0;0.0;0.0;0.0;2635;0;0.0;0.003;1001;900
st. petersburg;5;0.0;0;0.0;0.0;0.0;394;0;0.0;0.0556;90;18
st. louis;14;0.0;0;0.0;0.0;0.0;523;0;0.0;0.1556;90;37
st. augustine;16;0.01;1;15.72480011;0.542234487;0.021962011;716;0;0.0;0.1524;105;29
st thomas;57;0.0;0;0.0;0.0;0.0;1297;0;0.0;0.2346;243;72
st petersburg;7;0.0;0;0.0;0.0;0.0;391;0;0.0;0.0972;72;24
st pete beach;13;0.0;0;0.0;0.0;0.0;388;0;0.0;0.2;65;18
st pete;36;0.0;0;0.0;0.0;0.0;984;0;0.0;0.2384;151;50
st lucia;24;0.0;0;0.0;0.0;0.0;395;0;0.0;0.2791;86;42
st louis;34;0.0;0;0.0;0.0;0.0;958;0;0.0;0.1619;210;83
st george;8;0.0;0;0.0;0.0;0.0;609;0;0.0;0.0784;102;18
st augustine;60;0.0;0;0.0;0.0;0.0;2471;0;0.0;0.1376;436;120
st;10;0.0;0;0.0;0.0;0.0;7882;0;0.0;0.0036;2793;2409
ssd;2;0.0;0;0.0;0.0;0.0;450;0;0.0;0.0233;86;27
squid games;11;0.0;0;0.0;0.0;0.0;1164;0;0.0;0.0505;218;78
squid game;14;0.0;0;0.0;0.0;0.0;1173;0;0.0;0.0805;174;86
spyscape;5;0.0;0;0.0;0.0;0.0;596;0;0.0;0.0291;172;95
